terms_1,prob_1,terms_2,prob_2,terms_3,prob_3,terms_4,prob_4,terms_5,prob_5,terms_6,prob_6,terms_7,prob_7,terms_8,prob_8
year,0.014,polar_bear,0.0291663728048522,oil,0.032050330589664,arctic,0.0770376117638366,alaska,0.0234636072327764,ice,0.0394151541342553,walrus,0.0249688796680498,village,0.0189828102336203
time,0.0131829484902309,study,0.0231715917906763,drill,0.0205471596275806,ship,0.0218761545850883,climate_change,0.0180275806820783,warm,0.025326995102276,fish,0.0194017980636238,alaska,0.0188593648736228
race,0.011158081705151,bear,0.019116298751675,shell,0.0146437727702064,u.s,0.0138956624547403,state,0.0123340581368734,alaska,0.0203140305387496,whale,0.0189522821576763,people,0.0148782520137024
iditarod,0.00938188277087033,find,0.012239932294238,company,0.0143064363783565,coast_guard,0.0109029779058598,president,0.00947299153124285,year,0.0170008643042351,alaska,0.0145262793914246,community,0.0122858994537543
place,0.00884902309058614,arctic,0.0116404541928204,plan,0.011000539738227,vessel,0.0107182442917313,change,0.00890077821011674,sea_ice,0.0145231921636416,animal,0.0142842323651452,anchorage,0.0101873283337963
snow,0.00877797513321492,time,0.00963043938218492,alaska,0.0101234651194171,region,0.0106812975689056,climate,0.00787079423208972,winter,0.0141198501872659,sea_ice,0.0136964038727524,city,0.00873684535382527
dog,0.00877797513321492,year,0.00779674166020171,pipeline,0.0099885305626771,water,0.00887090815044706,alaskan,0.0072699702449073,temperature,0.0131979256698358,seal,0.013454356846473,barrow,0.00827392525383452
musher,0.00870692717584369,research,0.0074088440651668,gas,0.00934759141816219,international,0.00816892041675903,issue,0.0067549782558938,record,0.0123624315759147,water,0.0109993084370678,land,0.0075949757738481
nome,0.00828063943161635,book,0.00730305381197546,fuel,0.0085717177169073,port,0.00754082612872238,work,0.00672636758983749,report,0.0110371650821089,find,0.0109647302904564,resident,0.00691602629386168
run,0.00817406749555951,work,0.00726779039424501,offshore,0.00779584401565241,north,0.00728219906894258,energy,0.00661192492561227,degree,0.00988475943532124,hunt,0.00989280774550484,work,0.00660741289386785
team,0.00817406749555951,population,0.00652725862190563,hilcorp,0.00752597490217245,plan,0.0072452523461169,u.s,0.00638303959716182,summer,0.0096542783059637,ice,0.00975449515905947,state,0.00642224485387156
back,0.00774777975133215,scientist,0.00638620495098385,platform,0.00728983942787748,icebreaker,0.00676494494938299,future,0.00572499427786679,weather,0.00953903774128493,sea,0.00878630705394191,home,0.00629879949387403
start,0.00767673179396092,bird,0.00585725368502715,leak,0.00722237214950749,include,0.00639547772112614,action,0.00558194094758526,accord,0.00904926534140018,food,0.0081984785615491,road,0.00546554331389069
good,0.00757015985790409,site,0.00575146343183581,cook_inlet,0.00695250303602752,interest,0.00621074410699771,support,0.00552471961547265,scientist,0.0089628349178911,year,0.00806016597510374,call,0.00512606857389748
mile,0.00696625222024867,researcher,0.00546935608999224,water,0.00651396572662259,project,0.00602601049286928,plan,0.00543888761730373,change,0.00812734082397004,village,0.00764522821576764,school,0.00500262321389995
trail,0.00685968028419183,area,0.00539882925453135,federal,0.00648023208743759,russia,0.00561959654178675,meet,0.0052958342870222,melt,0.0079256698357822,hunter,0.00740318118948825,man,0.00494090053390118
leave,0.00632682060390764,university,0.00518724874814867,area,0.00617662933477264,arctic_ocean,0.005471809650484,world,0.00518139162279698,low,0.00778161912993374,bering_sea,0.00698824343015215,house,0.0047248711539055
trip,0.00625577264653641,sea_ice,0.00501093165949644,alaska's,0.0057043583861827,marine,0.00539791620483263,nation,0.00500972762645915,high,0.00763756842408528,island,0.00615836791147994,storm,0.00466314847390674
wind,0.00625577264653641,show,0.00465829748219197,agency,0.0057043583861827,polar,0.00502844897657578,include,0.00483806363012131,water,0.00714779602420052,specie,0.00560511756569848,local,0.00460142579390797
travel,0.00618472468916519,habitat,0.00465829748219197,environmental,0.00489475104574282,sea,0.00495455553092441,community,0.00483806363012131,condition,0.00700374531835206,beach,0.00557053941908714,report,0.00453970311390921
thing,0.00558081705150977,point,0.00458777064673108,mile,0.00482728376737283,coast,0.00476982191679598,impact,0.00483806363012131,climate,0.0068885047536733,spring,0.00532849239280774,rescue,0.00453970311390921
make,0.0054031971580817,human,0.00455250722900064,begin,0.00479355012818783,route,0.00465898174831893,alaska's,0.00480945296406501,average,0.0068596946125036,marine_mammal,0.0052939142461964,write,0.00435453507391291
made,0.0054031971580817,long,0.0044467169758093,shell's,0.00479355012818783,increase,0.00462203502549324,group,0.00475223163195239,ocean,0.00683088447133391,long,0.00519017980636238,family,0.00435453507391291
long,0.00536767317939609,make,0.00441145355807885,lease,0.00475981648900283,large,0.0044742481341905,policy,0.00423723964293889,arctic,0.00662921348314607,shore,0.00508644536652835,town,0.00432367373391353
day,0.00522557726465364,become,0.0043761901403484,spill,0.00452368101470787,year,0.00440035468853913,obama,0.00420862897688258,month,0.00642754249495822,bowhead_whale,0.00508644536652835,pilot,0.00426195105391476
march,0.00476376554174068,people,0.00423513646942662,north_slope,0.00442248009715288,canada,0.00440035468853913,leader,0.00415140764476997,normal,0.00599539037741285,area,0.00505186721991701,air,0.00413850569391723
win,0.00469271758436945,small,0.00419987305169617,project,0.00418634462285792,work,0.00432646124288775,year,0.00383669031815061,early,0.00570728896571593,harvest,0.00491355463347165,day,0.00407678301391847
hour,0.00462166962699822,world,0.00409408279850483,exploration,0.00411887734448792,russian,0.00425256779723639,opportunity,0.00383669031815061,datum,0.00539037741284932,fishery,0.00460235131396957,fly,0.00407678301391847
life,0.00458614564831261,good,0.00405881938077439,state,0.00395020914856295,provide,0.00392004729180522,make,0.0038080796520943,fall,0.00498703543647364,boat,0.00456777316735823,back,0.00392247631392155
live,0.00451509769094139,food,0.00395302912758305,barge,0.00395020914856295,northwest_passage,0.00388310056897953,fund,0.00377946898603799,season,0.00495822529530395,dead,0.00453319502074689,learn,0.00386075363392278
lot,0.00447957371225577,specie,0.00384723887439171,operation,0.00388274187019296,potential,0.00358752678637405,good,0.00375085831998169,expect,0.00481417458945549,list,0.00453319502074689,flight,0.00386075363392278
sunday,0.00437300177619893,accord,0.00377671203893081,development,0.00381527459182297,arctic_water,0.00355058006354836,protect,0.00375085831998169,snow,0.00475655430711611,wildlife_service,0.00449861687413555,search,0.00379903095392402
late,0.00437300177619893,spend,0.00374144862120037,chukchi_sea,0.00381527459182297,open,0.00351363334072268,decision,0.00369363698786908,heat,0.00472774416594641,number,0.00436030428769018,include,0.00355214023392896
people,0.00433747779751332,animal,0.00370618520346992,include,0.003612872756713,effort,0.00347668661789699,national,0.00363641565575647,part,0.00464131374243734,include,0.00432572614107884,young,0.00352127889392957
lead,0.00415985790408526,loss,0.00360039495027858,line,0.00351167183915801,u.s_coast_guard,0.00332889972659425,challenge,0.00352197299153124,university,0.00464131374243734,bowhead,0.00432572614107884,week,0.00352127889392957
turn,0.00415985790408526,land,0.0034593412793568,repair,0.00347793819997301,traffic,0.00325500628094288,cost,0.00346475165941863,cold,0.00461250360126765,spot,0.0042911479944675,service,0.00349041755393019
pull,0.00415985790408526,island,0.00342407786162635,move,0.00337673728241803,base,0.00325500628094288,council,0.00343614099336233,barrow,0.00455488331892826,wildlife,0.00425656984785615,hold,0.00349041755393019
reach,0.00412433392539964,publish,0.0033888144438959,billion,0.00337673728241803,develop,0.00325500628094288,science,0.00335030899519341,north,0.00452607317775857,large,0.00408367911479945,bring,0.00342869487393143
cold,0.00405328596802842,live,0.00335355102616546,work,0.00330927000404804,hope,0.00325500628094288,development,0.0033216983291371,day,0.00438202247191011,biologist,0.00404910096818811,fire,0.00339783353393204
move,0.0040177619893428,kaktovik,0.00331828760843501,late,0.00330927000404804,make,0.00314416611246582,alaska_native,0.0032930876630808,cover,0.00438202247191011,salmon,0.00401452282157676,shishmaref,0.00339783353393204
