filename,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
text189,0.769230769,0.025641026,0.023504274,0.032051282,0.025641026,0.023504274,0.02991453,0.023504274,0.019230769,0.027777778
text894,0.75,0.023006135,0.012269939,0.01993865,0.035276074,0.029141104,0.021472393,0.056748466,0.015337423,0.036809816
text903,0.745341615,0.027950311,0.01552795,0.02484472,0.02484472,0.040372671,0.02484472,0.034161491,0.034161491,0.027950311
text900,0.721428571,0.04047619,0.021428571,0.026190476,0.030952381,0.064285714,0.019047619,0.038095238,0.016666667,0.021428571
text1181,0.712941176,0.056470588,0.028235294,0.025882353,0.018823529,0.014117647,0.077647059,0.018823529,0.018823529,0.028235294
text1174,0.709473684,0.021052632,0.027368421,0.018947368,0.025263158,0.048421053,0.021052632,0.052631579,0.04,0.035789474
text970,0.708683473,0.042016807,0.019607843,0.025210084,0.022408964,0.022408964,0.025210084,0.070028011,0.025210084,0.039215686
text1173,0.704854369,0.031067961,0.015533981,0.025242718,0.027184466,0.031067961,0.034951456,0.06407767,0.034951456,0.031067961
text1145,0.702222222,0.031111111,0.026666667,0.035555556,0.031111111,0.031111111,0.057777778,0.026666667,0.035555556,0.022222222
text901,0.701886792,0.043396226,0.037735849,0.041509434,0.052830189,0.033962264,0.020754717,0.026415094,0.016981132,0.024528302
text461,0.692098093,0.027247956,0.016348774,0.065395095,0.029972752,0.046321526,0.046321526,0.019073569,0.021798365,0.035422343
text1116,0.688679245,0.018867925,0.018867925,0.031446541,0.034591195,0.053459119,0.040880503,0.034591195,0.047169811,0.031446541
text887,0.688356164,0.030821918,0.02739726,0.023972603,0.023972603,0.061643836,0.020547945,0.061643836,0.034246575,0.02739726
text1139,0.686046512,0.034883721,0.027131783,0.027131783,0.03875969,0.03875969,0.023255814,0.050387597,0.03875969,0.034883721
text969,0.667546174,0.031662269,0.039577836,0.029023747,0.029023747,0.036939314,0.044854881,0.044854881,0.018469657,0.058047493
text1384,0.665338645,0.03187251,0.027888446,0.03187251,0.03187251,0.035856574,0.03187251,0.039840637,0.051792829,0.051792829
text356,0.663492063,0.047619048,0.019047619,0.034920635,0.038095238,0.063492063,0.044444444,0.025396825,0.028571429,0.034920635
text1185,0.662650602,0.030120482,0.036144578,0.021084337,0.030120482,0.06626506,0.042168675,0.03313253,0.054216867,0.024096386
text1177,0.662162162,0.036036036,0.031531532,0.018018018,0.040540541,0.033783784,0.047297297,0.076576577,0.015765766,0.038288288
text1149,0.662100457,0.03196347,0.02739726,0.03652968,0.059360731,0.063926941,0.03652968,0.02283105,0.02739726,0.03196347
text186,0.662082515,0.068762279,0.027504912,0.023575639,0.055009823,0.049115914,0.013752456,0.039292731,0.023575639,0.037328094
text1099,0.661392405,0.028481013,0.018987342,0.018987342,0.03164557,0.034810127,0.025316456,0.10443038,0.056962025,0.018987342
text1156,0.659685864,0.095986038,0.036649215,0.020942408,0.020942408,0.017452007,0.034904014,0.045375218,0.02443281,0.043630017
text897,0.65530303,0.018939394,0.018939394,0.034090909,0.037878788,0.037878788,0.087121212,0.045454545,0.03030303,0.034090909
text4,0.652068127,0.052311436,0.03406326,0.01216545,0.098540146,0.035279805,0.01946472,0.045012165,0.02189781,0.02919708
text1386,0.650837989,0.058659218,0.019553073,0.053072626,0.019553073,0.016759777,0.027932961,0.078212291,0.019553073,0.055865922
text122,0.650579151,0.034749035,0.021235521,0.019305019,0.123552124,0.030888031,0.017374517,0.032818533,0.027027027,0.042471042
text1087,0.647577093,0.057268722,0.022026432,0.035242291,0.026431718,0.052863436,0.026431718,0.052863436,0.030837004,0.04845815
text893,0.64690027,0.056603774,0.035040431,0.045822102,0.029649596,0.021563342,0.032345013,0.02425876,0.040431267,0.067385445
text911,0.643598616,0.091695502,0.020761246,0.034602076,0.027681661,0.020761246,0.039792388,0.055363322,0.020761246,0.044982699
text1175,0.642004773,0.050119332,0.057279236,0.014319809,0.040572792,0.050119332,0.045346062,0.045346062,0.033412888,0.021479714
text1252,0.639037433,0.034759358,0.053475936,0.024064171,0.048128342,0.064171123,0.032085561,0.037433155,0.029411765,0.037433155
text355,0.637873754,0.053156146,0.023255814,0.03986711,0.059800664,0.03986711,0.029900332,0.049833887,0.03986711,0.026578073
